% ----------------------------------------------------------------------------
% This file contains profiled data created with the SUMO Toolbox profiler v2014a
% 
%   * Name: best_hyperparameters_out
%   * Description: Hyperparameter values for each new best model
%   * Date: 07/05/2015 at 11:32
% 
%   * Column1: 	Number of samples: 	Number of samples
%   * Column2: 	hyperparameters1: 	The Hyperparameters (1'st value)
%   * Column3: 	hyperparameters2: 	The Hyperparameters (2'nd value)
%
% ----------------------------------------------------------------------------

6.000000000E0	6.190391500481E-1	-1.41531071754E-1	
7.000000000E0	6.190391500481E-1	-1.41531071754E-1	
8.000000000E0	6.190391500481E-1	-1.41531071754E-1	
9.000000000E0	6.190391500481E-1	-1.41531071754E-1	
1.000000000E1	6.190391500481E-1	-1.41531071754E-1	
1.100000000E1	6.190391500481E-1	-1.41531071754E-1	
1.200000000E1	6.190391500481E-1	-1.41531071754E-1	
1.300000000E1	6.190391500481E-1	-1.41531071754E-1	
1.400000000E1	6.190391500481E-1	-1.41531071754E-1	
1.500000000E1	6.190391500481E-1	-1.41531071754E-1	
1.600000000E1	6.190391500481E-1	-1.41531071754E-1	
1.700000000E1	6.190391500481E-1	-1.41531071754E-1	
1.800000000E1	6.190391500481E-1	-1.41531071754E-1	
1.900000000E1	6.190391500481E-1	-1.41531071754E-1	
2.000000000E1	6.190391500481E-1	-1.41531071754E-1	
2.100000000E1	6.190391500481E-1	-1.41531071754E-1	
2.200000000E1	6.190391500481E-1	-1.41531071754E-1	
2.300000000E1	6.190391500481E-1	-1.41531071754E-1	
2.400000000E1	6.190391500481E-1	-1.41531071754E-1	
2.500000000E1	6.190391500481E-1	-1.41531071754E-1	
2.600000000E1	6.190391500481E-1	-1.41531071754E-1	
2.700000000E1	6.190391500481E-1	-1.41531071754E-1	
2.800000000E1	6.190391500481E-1	-1.41531071754E-1	
2.900000000E1	6.190391500481E-1	-1.41531071754E-1	
3.000000000E1	6.190391500481E-1	-1.41531071754E-1	
3.100000000E1	6.190391500481E-1	-1.41531071754E-1	
3.200000000E1	6.190391500481E-1	-1.41531071754E-1	
3.300000000E1	6.190391500481E-1	-1.41531071754E-1	
3.400000000E1	6.190391500481E-1	-1.41531071754E-1	
3.500000000E1	6.190391500481E-1	-1.41531071754E-1	
3.600000000E1	6.190391500481E-1	-1.41531071754E-1	
3.700000000E1	6.190391500481E-1	-1.41531071754E-1	
3.800000000E1	6.190391500481E-1	-1.41531071754E-1	
3.900000000E1	6.190391500481E-1	-1.41531071754E-1	
4.000000000E1	6.190391500481E-1	-1.41531071754E-1	
4.100000000E1	6.190391500481E-1	-1.41531071754E-1	
4.200000000E1	6.190391500481E-1	-1.41531071754E-1	
4.300000000E1	6.190391500481E-1	-1.41531071754E-1	
4.400000000E1	6.190391500481E-1	-1.41531071754E-1	
4.500000000E1	6.190391500481E-1	-1.41531071754E-1	
4.600000000E1	6.190391500481E-1	-1.41531071754E-1	
4.700000000E1	6.190391500481E-1	-1.41531071754E-1	
4.800000000E1	6.190391500481E-1	-1.41531071754E-1	
4.900000000E1	6.190391500481E-1	-1.41531071754E-1	
5.000000000E1	6.190391500481E-1	-1.41531071754E-1	
5.100000000E1	6.190391500481E-1	-1.41531071754E-1	
5.200000000E1	6.190391500481E-1	-1.41531071754E-1	
5.300000000E1	6.190391500481E-1	-1.41531071754E-1	
5.400000000E1	6.190391500481E-1	-1.41531071754E-1	
5.500000000E1	6.190391500481E-1	-1.41531071754E-1	
5.600000000E1	6.190391500481E-1	-1.41531071754E-1	
5.700000000E1	6.190391500481E-1	-1.41531071754E-1	
5.800000000E1	6.190391500481E-1	-1.41531071754E-1	
5.900000000E1	6.190391500481E-1	-1.41531071754E-1	
6.000000000E1	6.190391500481E-1	-1.41531071754E-1	
6.100000000E1	6.190391500481E-1	-1.41531071754E-1	
6.200000000E1	6.190391500481E-1	-1.41531071754E-1	
6.300000000E1	6.190391500481E-1	-1.41531071754E-1	
6.400000000E1	6.190391500481E-1	-1.41531071754E-1	
6.500000000E1	6.190391500481E-1	-1.41531071754E-1	
6.600000000E1	6.190391500481E-1	-1.41531071754E-1	
6.700000000E1	6.190391500481E-1	-1.41531071754E-1	
6.800000000E1	6.190391500481E-1	-1.41531071754E-1	
6.900000000E1	6.190391500481E-1	-1.41531071754E-1	
7.000000000E1	6.190391500481E-1	-1.41531071754E-1	
7.100000000E1	6.190391500481E-1	-1.41531071754E-1	
7.200000000E1	6.190391500481E-1	-1.41531071754E-1	
7.300000000E1	6.190391500481E-1	-1.41531071754E-1	
7.400000000E1	6.190391500481E-1	-1.41531071754E-1	
7.500000000E1	6.190391500481E-1	-1.41531071754E-1	
7.600000000E1	6.190391500481E-1	-1.41531071754E-1	
7.700000000E1	6.190391500481E-1	-1.41531071754E-1	
7.800000000E1	6.190391500481E-1	-1.41531071754E-1	
7.900000000E1	6.190391500481E-1	-1.41531071754E-1	
8.000000000E1	6.190391500481E-1	-1.41531071754E-1	
8.100000000E1	6.190391500481E-1	-1.41531071754E-1	
8.200000000E1	6.190391500481E-1	-1.41531071754E-1	
8.300000000E1	6.190391500481E-1	-1.41531071754E-1	
8.400000000E1	6.190391500481E-1	-1.41531071754E-1	
8.500000000E1	6.190391500481E-1	-1.41531071754E-1	
8.600000000E1	6.190391500481E-1	-1.41531071754E-1	
8.700000000E1	6.190391500481E-1	-1.41531071754E-1	
8.800000000E1	6.190391500481E-1	-1.41531071754E-1	
8.900000000E1	6.190391500481E-1	-1.41531071754E-1	
9.000000000E1	6.190391500481E-1	-1.41531071754E-1	
9.100000000E1	6.190391500481E-1	-1.41531071754E-1	
9.200000000E1	6.190391500481E-1	-1.41531071754E-1	
9.300000000E1	6.190391500481E-1	-1.41531071754E-1	
9.400000000E1	6.190391500481E-1	-1.41531071754E-1	
9.500000000E1	6.190391500481E-1	-1.41531071754E-1	
9.600000000E1	6.190391500481E-1	-1.41531071754E-1	
9.700000000E1	6.190391500481E-1	-1.41531071754E-1	
9.800000000E1	6.190391500481E-1	-1.41531071754E-1	
9.900000000E1	6.190391500481E-1	-1.41531071754E-1	
1.000000000E2	6.190391500481E-1	-1.41531071754E-1	
